old,new,oldupper
qid1488_1,achi59,QID1488_1
qid1489_1,visi59,QID1489_1
qid1490,like59,QID1490
qid659,play60,QID659
qid660,uhoh60,QID660
qid661_1,danc60,QID661_1
qid662_1,heal60,QID662_1
qid663_1,baby60,QID663_1
qid664_1,love60,QID664_1
qid1491_1,achi60,QID1491_1
qid1492_1,visi60,QID1492_1
qid1493,like60,QID1493
qid668,play61,QID668
qid669,uhoh61,QID669
qid670_1,danc61,QID670_1
qid671_1,heal61,QID671_1
qid672_1,baby61,QID672_1
qid673_1,love61,QID673_1
qid1494_1,achi61,QID1494_1
qid1495_1,visi61,QID1495_1
qid1496,like61,QID1496
qid677,play62,QID677
qid678,uhoh62,QID678
qid679_1,danc62,QID679_1
qid680_1,heal62,QID680_1
qid681_1,baby62,QID681_1
qid682_1,love62,QID682_1
qid1497_1,achi62,QID1497_1
qid1498_1,visi62,QID1498_1
qid1499,like62,QID1499
qid686,play63,QID686
qid687,uhoh63,QID687
qid688_1,danc63,QID688_1
qid689_1,heal63,QID689_1
qid690_1,baby63,QID690_1
qid691_1,love63,QID691_1
qid1500_1,achi63,QID1500_1
qid1501_1,visi63,QID1501_1
qid1502,like63,QID1502
qid695,play64,QID695
qid696,uhoh64,QID696
qid697_1,danc64,QID697_1
qid698_1,heal64,QID698_1
qid699_1,baby64,QID699_1
qid700_1,love64,QID700_1
qid1503_1,achi64,QID1503_1
qid1504_1,visi64,QID1504_1
qid1505,like64,QID1505
qid704,play65,QID704
qid705,uhoh65,QID705
qid706_1,danc65,QID706_1
qid707_1,heal65,QID707_1
qid708_1,baby65,QID708_1
qid709_1,love65,QID709_1
qid1506_1,achi65,QID1506_1
qid1507_1,visi65,QID1507_1
qid1508,like65,QID1508
qid713,play66,QID713
qid714,uhoh66,QID714
qid715_1,danc66,QID715_1
qid716_1,heal66,QID716_1
qid717_1,baby66,QID717_1
qid718_1,love66,QID718_1
qid1509_1,achi66,QID1509_1
qid1510_1,visi66,QID1510_1
qid1511,like66,QID1511
qid722,play67,QID722
qid723,uhoh67,QID723
