id,family_id,parent_id,name,bookkeeping,level,status,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
domi1236,sign1238,asli1244,Dominican Sign Language,FALSE,language,safe,18.8798,-71.1722,doq,,,0,0,0,DO
domk1238,khoe1240,gana1274,Domkhoe,FALSE,dialect,safe,,,,,,0,0,0,
domm1245,drav1251,telu1262,Dommara,FALSE,dialect,safe,,,,,,0,0,0,
domm1246,nucl1709,kuma1279,Dom,FALSE,language,safe,-6.03737,144.895,doa,,,0,0,1,PG
domn1238,dogo1299,jams1239,Domno,FALSE,dialect,safe,,,,,,0,0,0,
domo1238,afro1255,west2705,Domo,FALSE,dialect,safe,,,,,,0,0,0,
domp1238,atla1278,gonj1242,Dompo,FALSE,language,severely endangered,8.182,-2.295,doy,,,0,0,0,GH
domr1239,indo1319,bhoj1244,Domra,FALSE,dialect,safe,,,,,,0,0,0,
domu1245,mail1249,mail1249,Domu,FALSE,language,safe,-10.151,148.45,dof,,,0,0,0,PG
domu1246,nucl1709,bwan1242,Domung,FALSE,language,safe,-5.81856,146.682,dev,,,0,0,0,PG
dond1246,atla1278,ndau1241,Dondo (Ndau),FALSE,dialect,safe,,,,,,0,0,0,
dond1247,atla1278,pomo1271,Dondi,FALSE,dialect,safe,,,,,,0,0,0,
dond1248,maba1274,maba1277,Dondongo,FALSE,dialect,safe,,,,,,0,0,0,
dond1249,aust1307,nort2897,Dondo,FALSE,language,definitely endangered,0.80348,120.707,dok,,,0,0,0,ID
done1238,indo1319,iris1253,Donegal,FALSE,dialect,safe,,,,,,0,0,0,
dong1285,mong1329,baoa1237,Dongxiang,FALSE,language,vulnerable,35.5808,103.558,sce,,,0,0,3,CN
dong1286,sino1245,core1258,Dongshanba Lalo,FALSE,language,vulnerable,25.435,100.178,yik,,,0,0,0,CN
dong1287,hmon1336,buna1273,Dongnu,FALSE,dialect,safe,,,,,,0,0,0,
dong1288,nubi1251,kenu1236,Dongola,FALSE,dialect,vulnerable,18.25,30.75,dgl,,,0,0,0,
dong1289,atla1278,nucl1240,Dong (Nuclear Mumuye),FALSE,dialect,safe,,,,,,0,0,0,
dong1290,atla1278,ndun1247,Dongo,FALSE,language,safe,2.96683,29.9619,doo,,,0,0,0,CD
dong1291,atla1278,kpan1246,Donga,FALSE,dialect,safe,,,,,,0,0,0,
dong1292,atla1278,juku1254,Donga (Jukun Takum),FALSE,dialect,safe,,,,,,0,0,0,
